"symbol","tf","time","open","high","low","close","volume"
"XAGUSD","30m","2025-12-18T18:00:00Z","65.4647","66.193","65.417","65.8727","16281"
"XAGUSD","30m","2025-12-18T18:30:00Z","65.8675","66.048","65.671","65.803","9310"
"XAGUSD","30m","2025-12-18T19:00:00Z","65.8027","65.878","64.7832","65.013","15453"
"XAGUSD","30m","2025-12-18T19:30:00Z","65.013","65.467","64.982","65.2845","9486"
"XAGUSD","30m","2025-12-18T20:00:00Z","65.2845","65.4277","65.0753","65.2037","9776"
"XAGUSD","30m","2025-12-18T20:30:00Z","65.208","65.4983","65.1653","65.3577","6003"
"XAGUSD","30m","2025-12-18T21:00:00Z","65.3577","65.3983","65.175","65.3757","7183"
"XAGUSD","30m","2025-12-18T21:30:00Z","65.3807","65.4417","65.028","65.167","7803"
"XAGUSD","30m","2025-12-18T22:00:00Z","65.167","65.517","65.1413","65.325","7152"
"XAGUSD","30m","2025-12-18T22:30:00Z","65.325","65.5167","65.266","65.3993","6296"
"XAGUSD","30m","2025-12-18T23:00:00Z","65.3993","65.4193","65.29","65.4013","1457"
"XAGUSD","30m","2025-12-18T23:30:00Z","65.4003","65.49","65.3405","65.46","1012"
"XAGUSD","30m","2025-12-19T01:00:00Z","65.4853","65.606","65.478","65.5435","1071"
"XAGUSD","30m","2025-12-19T01:30:00Z","65.5435","65.6097","65.452","65.5497","1067"
"XAGUSD","30m","2025-12-19T02:00:00Z","65.5497","65.5983","65.379","65.505","1518"
"XAGUSD","30m","2025-12-19T02:30:00Z","65.509","65.5361","65.3597","65.3897","1174"
"XAGUSD","30m","2025-12-19T03:00:00Z","65.385","65.516","64.947","65.0027","7080"
"XAGUSD","30m","2025-12-19T03:30:00Z","65.0027","65.0327","64.652","64.888","6044"
"XAGUSD","30m","2025-12-19T04:00:00Z","64.8927","65.0577","64.782","65.013","2840"
"XAGUSD","30m","2025-12-19T04:30:00Z","65.0133","65.2025","64.8047","64.8297","4024"
"XAGUSD","30m","2025-12-19T05:00:00Z","64.8245","65.2547","64.47","65.18","4668"
"XAGUSD","30m","2025-12-19T05:30:00Z","65.185","65.225","65.0745","65.112","2007"
"XAGUSD","30m","2025-12-19T06:00:00Z","65.1167","65.1843","65.083","65.113","1898"
"XAGUSD","30m","2025-12-19T06:30:00Z","65.113","65.441","65.1067","65.4117","3147"
"XAGUSD","30m","2025-12-19T07:00:00Z","65.4117","65.4817","65.2413","65.3415","2487"
"XAGUSD","30m","2025-12-19T07:30:00Z","65.3415","65.9637","65.327","65.8397","6996"
"XAGUSD","30m","2025-12-19T08:00:00Z","65.8397","66.0053","65.7104","65.7427","4829"
"XAGUSD","30m","2025-12-19T08:30:00Z","65.7427","65.864","65.588","65.8024","4671"
"XAGUSD","30m","2025-12-19T09:00:00Z","65.802","65.8777","65.727","65.8147","2818"
"XAGUSD","30m","2025-12-19T09:30:00Z","65.814","65.871","65.658","65.708","2029"
"XAGUSD","30m","2025-12-19T10:00:00Z","65.701","65.8283","65.676","65.741","2267"
"XAGUSD","30m","2025-12-19T10:30:00Z","65.74","65.926","65.74","65.817","2529"
"XAGUSD","30m","2025-12-19T11:00:00Z","65.817","65.934","65.726","65.8627","2263"
"XAGUSD","30m","2025-12-19T11:30:00Z","65.8627","66.1247","65.8103","66.007","3079"
"XAGUSD","30m","2025-12-19T12:00:00Z","66.002","66.2087","65.994","66.0357","2597"
"XAGUSD","30m","2025-12-19T12:30:00Z","66.0337","66.1067","65.937","66.0387","2475"
"XAGUSD","30m","2025-12-19T13:00:00Z","66.037","66.0647","65.832","65.928","2642"
"XAGUSD","30m","2025-12-19T13:30:00Z","65.927","66.019","65.833","65.8535","2183"
"XAGUSD","30m","2025-12-19T14:00:00Z","65.863","65.9537","65.637","65.927","3414"
"XAGUSD","30m","2025-12-19T14:30:00Z","65.932","65.946","65.694","65.761","2732"
"XAGUSD","30m","2025-12-19T15:00:00Z","65.761","66.019","65.647","65.892","9880"
"XAGUSD","30m","2025-12-19T15:30:00Z","65.89","66.037","65.725","65.845","6664"
"XAGUSD","30m","2025-12-19T16:00:00Z","65.845","66.077","65.737","65.933","7529"
"XAGUSD","30m","2025-12-19T16:30:00Z","65.933","66.612","65.819","66.2585","13646"
"XAGUSD","30m","2025-12-19T17:00:00Z","66.2584","66.5477","66.209","66.415","11481"
"XAGUSD","30m","2025-12-19T17:30:00Z","66.415","66.847","66.365","66.819","10045"
"XAGUSD","30m","2025-12-19T18:00:00Z","66.819","67.23","66.667","66.8827","11547"
"XAGUSD","30m","2025-12-19T18:30:00Z","66.8867","67.302","66.853","67.2547","9016"
"XAGUSD","30m","2025-12-19T19:00:00Z","67.2547","67.3287","67.0777","67.272","6120"
"XAGUSD","30m","2025-12-19T19:30:00Z","67.277","67.4187","67.1557","67.376","5553"
"XAGUSD","30m","2025-12-19T20:00:00Z","67.3635","67.445","67.212","67.294","5753"
"XAGUSD","30m","2025-12-19T20:30:00Z","67.293","67.3017","66.9105","67.1737","5261"
"XAGUSD","30m","2025-12-19T21:00:00Z","67.1737","67.2917","67.128","67.2317","3272"
"XAGUSD","30m","2025-12-19T21:30:00Z","67.2277","67.379","67.197","67.199","3482"
"XAGUSD","30m","2025-12-19T22:00:00Z","67.1987","67.288","66.991","67.213","4201"
"XAGUSD","30m","2025-12-19T22:30:00Z","67.2","67.241","67.004","67.1977","5741"
"XAGUSD","30m","2025-12-19T23:00:00Z","67.1977","67.2347","67.128","67.1507","1190"
"XAGUSD","30m","2025-12-19T23:30:00Z","67.15","67.1963","67.095","67.1963","1218"
"XAGUSD","30m","2025-12-22T01:00:00Z","67.3595","67.478","67.158","67.436","1474"
"XAGUSD","30m","2025-12-22T01:30:00Z","67.431","67.4827","67.351","67.418","1245"
"XAGUSD","30m","2025-12-22T02:00:00Z","67.416","67.5417","67.39","67.5057","1978"
"XAGUSD","30m","2025-12-22T02:30:00Z","67.5157","67.546","67.3632","67.533","2287"
"XAGUSD","30m","2025-12-22T03:00:00Z","67.533","68.218","67.533","68.015","11641"
"XAGUSD","30m","2025-12-22T03:30:00Z","68.016","68.5357","67.952","68.3727","9522"
"XAGUSD","30m","2025-12-22T04:00:00Z","68.3727","68.6597","68.322","68.4507","4491"
"XAGUSD","30m","2025-12-22T04:30:00Z","68.445","68.9787","68.4053","68.7377","8032"
"XAGUSD","30m","2025-12-22T05:00:00Z","68.7387","68.9917","68.699","68.9827","6399"
"XAGUSD","30m","2025-12-22T05:30:00Z","68.9827","69.2407","68.961","69.203","3110"
"XAGUSD","30m","2025-12-22T06:00:00Z","69.2087","69.4517","69.147","69.3607","2710"
"XAGUSD","30m","2025-12-22T06:30:00Z","69.3607","69.421","69.335","69.354","2132"
"XAGUSD","30m","2025-12-22T07:00:00Z","69.3507","69.3987","69.104","69.2917","3197"
"XAGUSD","30m","2025-12-22T07:30:00Z","69.2917","69.378","68.509","68.618","10315"
"XAGUSD","30m","2025-12-22T08:00:00Z","68.62","69.0917","68.6041","68.9847","4766"
"XAGUSD","30m","2025-12-22T08:30:00Z","68.989","69.2507","68.8593","69.1957","6066"
"XAGUSD","30m","2025-12-22T09:00:00Z","69.1957","69.2057","68.8117","68.9913","4455"
"XAGUSD","30m","2025-12-22T09:30:00Z","68.997","69.0352","68.77","68.981","3853"
"XAGUSD","30m","2025-12-22T10:00:00Z","68.981","68.981","68.729","68.8357","3918"
"XAGUSD","30m","2025-12-22T10:30:00Z","68.8357","68.8857","68.601","68.72409999999999","4123"
"XAGUSD","30m","2025-12-22T11:00:00Z","68.7237","68.926","68.6657","68.8357","3414"
"XAGUSD","30m","2025-12-22T11:30:00Z","68.834","69.0265","68.816","68.943","2679"
"XAGUSD","30m","2025-12-22T12:00:00Z","68.949","69.135","68.949","69.0303","3098"
"XAGUSD","30m","2025-12-22T12:30:00Z","69.0313","69.1297","68.9317","69.0073","2742"
"XAGUSD","30m","2025-12-22T13:00:00Z","69.0073","69.153","68.951","69.0877","2410"
"XAGUSD","30m","2025-12-22T13:30:00Z","69.083","69.1601","68.984","69.0927","2194"
"XAGUSD","30m","2025-12-22T14:00:00Z","69.089","69.2303","68.9393","68.9783","3725"
"XAGUSD","30m","2025-12-22T14:30:00Z","68.982","69.08","68.833","69.053","3436"
"XAGUSD","30m","2025-12-22T15:00:00Z","69.0604","69.238","68.8749","69.0384","10985"
"XAGUSD","30m","2025-12-22T15:30:00Z","69.0387","69.1187","68.787","68.903","6415"
"XAGUSD","30m","2025-12-22T16:00:00Z","68.902","69.1446","68.8465","69.044","6606"
"XAGUSD","30m","2025-12-22T16:30:00Z","69.044","69.247","68.649","68.886","17422"
"XAGUSD","30m","2025-12-22T17:00:00Z","68.886","68.9517","68.4153","68.62","12043"
"XAGUSD","30m","2025-12-22T17:30:00Z","68.62","69.028","68.549","68.804","6640"
"XAGUSD","30m","2025-12-22T18:00:00Z","68.801","68.944","68.466","68.486","8241"
"XAGUSD","30m","2025-12-22T18:30:00Z","68.487","68.762","68.228","68.748","7081"
"XAGUSD","30m","2025-12-22T19:00:00Z","68.748","68.794","68.422","68.4323","6078"
"XAGUSD","30m","2025-12-22T19:30:00Z","68.4323","68.6073","68.321","68.5833","6264"
"XAGUSD","30m","2025-12-22T20:00:00Z","68.5833","68.616","68.4313","68.5587","5900"
"XAGUSD","30m","2025-12-22T20:30:00Z","68.565","68.5897","68.324","68.3523","5201"
"XAGUSD","30m","2025-12-22T21:00:00Z","68.3527","68.4403","68.1048","68.415","5511"
"XAGUSD","30m","2025-12-22T21:30:00Z","68.415","68.5707","68.331","68.561","3088"
"XAGUSD","30m","2025-12-22T22:00:00Z","68.561","68.7537","68.559","68.6677","3529"
"XAGUSD","30m","2025-12-22T22:30:00Z","68.668","68.8933","68.6626","68.868","3735"
"XAGUSD","30m","2025-12-22T23:00:00Z","68.868","68.966","68.8657","68.932","1541"
"XAGUSD","30m","2025-12-22T23:30:00Z","68.933","69.0833","68.9287","69.0293","1283"
"XAGUSD","30m","2025-12-23T01:00:00Z","69.1017","69.2757","69.071","69.2327","1404"
"XAGUSD","30m","2025-12-23T01:30:00Z","69.2317","69.258","69.116","69.1257","1599"
"XAGUSD","30m","2025-12-23T02:00:00Z","69.1257","69.1937","68.9841","69.125","1831"
"XAGUSD","30m","2025-12-23T02:30:00Z","69.126","69.208","69.0641","69.1617","1377"
"XAGUSD","30m","2025-12-23T03:00:00Z","69.161","69.6967","68.897","69.1947","16322"
"XAGUSD","30m","2025-12-23T03:30:00Z","69.1947","69.4497","69.139","69.284","5370"
"XAGUSD","30m","2025-12-23T04:00:00Z","69.284","69.54","69.138","69.4887","3129"
"XAGUSD","30m","2025-12-23T04:30:00Z","69.4887","69.8067","69.482","69.8067","5020"
"XAGUSD","30m","2025-12-23T05:00:00Z","69.8117","69.9927","69.5941","69.719","5397"
"XAGUSD","30m","2025-12-23T05:30:00Z","69.719","69.719","69.5127","69.5907","2633"
"XAGUSD","30m","2025-12-23T06:00:00Z","69.586","69.6967","69.515","69.645","1741"
